D1,D2,D3,D4,D5,D6,D7,D8,D9,E1,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E2,E20,E3,E4,E5,E6,E7,E8,E9,I1,I2,I3,I4,I5,I6,I7,I8,I9,M1,M10,M11,M12,M13,M14,M15,M16,M17,M18,M2,M3,M4,M5,M6,M7,M8,M9,P1,P10,P11,P12,P13,P2,P3,P4,P5,P6,P7,P8,P9,S1,S10,S11,S12,S2,S3,S4,S5,S6,S7,S8,S9,V1,V10,V11,V12,V13,V2,V3,V4,V5,V6,V7,V8,V9,forward_returns,risk_free_rate,market_forward_excess_returns,date_id,lagged_forward_returns,lagged_risk_free_rate,lagged_market_forward_excess_returns
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1205.280029296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9279999732971191,1.5770000219345093,-0.3509999513626098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19473084768.0,11111603300.074478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-236.2890625,0.0,0.0,0.0,0.0,0.9674654993792632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10138.0498046875,0.0,15.800000190734863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.6961129135615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006898901425563,7.650793544829838e-05,-0.0040525711152994,540,-0.0580850243386819,7.539682445071991e-05,-0.0581124415766944
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1201.3199462890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.937999963760376,1.6100000143051147,-0.3279999494552612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17097508856.0,9637829172.526886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.6884765625,0.0,0.0,0.0,0.0,0.9686595499923129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10131.0556640625,0.0,16.68000030517578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,662.9328479112113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0273327073574147,7.690476046668159e-05,0.0239570078844789,541,-0.0006898901425563,7.650793544829838e-05,-0.0040525711152994
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1208.56005859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.909999966621399,1.527999997138977,-0.3819999694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15627023886.0,9090764422.124594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.154296875,0.0,0.0,0.0,0.0,0.9939542732143112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10407.96484375,0.0,19.8700008392334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673.9490656244825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0238282805498643,7.579364946910313e-05,-0.0272040136400592,542,0.0273327073574147,7.690476046668159e-05,0.0239570078844789
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1208.56005859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.909999966621399,1.527999997138977,-0.3819999694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15451030650.0,8988383248.330093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-756.0927734375,0.0,0.0,0.0,0.0,0.9844873082535952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10159.9609375,0.0,19.8700008392334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,696.1907563292201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002110574982218,7.579364946910313e-05,-0.0054799265109078,543,-0.0238282805498643,7.579364946910313e-05,-0.0272040136400592
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1208.56005859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.909999966621399,1.527999997138977,-0.3819999694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14153856610.0,8233773560.76827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-624.71484375,0.0,0.0,0.0,0.0,0.9944490850220354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10138.517578125,0.0,19.8700008392334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681.9762251947299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0229128896394301,7.579364946910313e-05,0.019529901650736,544,-0.002110574982218,7.579364946910313e-05,-0.0054799265109078
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1212.6500244140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.932999968528748,1.5449999570846558,-0.3880000114440918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18438654080.0,10603021543.27678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.7705078125,0.0,0.0,0.0,0.0,1.012610885007298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10370.8203125,0.0,19.31999969482422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.4787339729811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017869397686568,7.670634795748999e-05,-0.0212374565401798,545,0.0229128896394301,7.579364946910313e-05,0.019529901650736
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1210.72998046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9429999589920044,1.4900000095367432,-0.4529999494552612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14762609503.0,8600413416.680733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.4443359375,0.0,0.0,0.0,0.0,0.9934598986113786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10185.5,0.0,20.309999465942383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.204526536628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0423226300562074,7.710317297587319e-05,-0.0456567548945283,546,-0.017869397686568,7.670634795748999e-05,-0.0212374565401798
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1210.760009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.940000057220459,1.465999960899353,-0.4740000963211059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17603790323.0,10336929077.517008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-653.5419921875,0.0,0.0,0.0,0.0,0.9637001447383976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9754.4228515625,0.0,19.350000381469727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574.4415350424406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0250371200804442,7.698412925478012e-05,-0.0283445036454308,547,-0.0423226300562074,7.710317297587319e-05,-0.0456567548945283
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1211.3699951171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.940000057220459,1.5160000324249268,-0.4240000247955322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17045878501.0,9864512759.827234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-649.7607421875,0.0,0.0,0.0,0.0,0.9517917144071968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9510.2001953125,0.0,17.8799991607666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534.1399760365168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0092504501488688,7.698412925478012e-05,0.0059148318162993,548,-0.0250371200804442,7.698412925478012e-05,-0.0283445036454308
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1207.1600341796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.932999968528748,1.50600004196167,-0.4269999265670776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13595263986.0,7906521626.415889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-540.34375,0.0,0.0,0.0,0.0,0.9710992804372424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9598.173828125,0.0,18.979999542236328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.4196666763007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033850433381186,7.670634795748999e-05,4.8474787173682313e-05,549,0.0092504501488688,7.698412925478012e-05,0.0059148318162993
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1207.1600341796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.932999968528748,1.50600004196167,-0.4269999265670776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11454806419.0,6661707692.58287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-740.15625,0.0,0.0,0.0,0.0,0.9892018930791296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9630.6640625,0.0,18.979999542236328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.079414230621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0132188849905696,7.670634795748999e-05,0.0098782275509168,550,0.0033850433381186,7.670634795748999e-05,4.8474787173682313e-05
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1207.1600341796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.932999968528748,1.50600004196167,-0.4269999265670776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11445355859.0,6656211583.268723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-427.529296875,0.0,0.0,0.0,0.0,1.0111586714982914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9757.970703125,0.0,18.979999542236328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.9089390835933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0603393940170304,7.670634795748999e-05,0.0550380226070926,551,0.0132188849905696,7.670634795748999e-05,0.0098782275509168
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1209.1500244140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.932999968528748,1.50600004196167,-0.4269999265670776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17248102294.0,10030882367.755188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,592.337890625,0.0,0.0,0.0,0.0,1.0591689422708963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10346.7607421875,0.0,18.979999542236328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.84276197395246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0267503331498204,7.670634795748999e-05,0.0233488801232143,552,0.0603393940170304,7.670634795748999e-05,0.0550380226070926
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1212.77001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.909999966621399,1.465999960899353,-0.4440000057220459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19384917989.0,11483956394.366297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1113.33984375,0.0,0.0,0.0,0.0,1.0632660868463728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10623.5400390625,0.0,19.65999984741211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.3406340667436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0027341992305008,7.579364946910313e-05,-0.0061335733831313,553,0.0267503331498204,7.670634795748999e-05,0.0233488801232143
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1210.47998046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9049999713897705,1.4589999914169312,-0.4459999799728393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16742664769.0,9954021964.421778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.3193359375,0.0,0.0,0.0,0.0,1.0396251471285505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10594.4931640625,0.0,17.329999923706055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.4570287765706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017896052830365,7.559523695991153e-05,-0.0051906858915363,554,-0.0027341992305008,7.579364946910313e-05,-0.0061335733831313
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1202.68994140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.919999957084656,1.565000057220459,-0.3549998998641968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14551239508.0,8350783035.821958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,944.869140625,0.0,0.0,0.0,0.0,1.0188709110819714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10575.533203125,0.0,16.270000457763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.755455841001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0210136420057129,7.619047448748633e-05,-0.02439655273541,555,-0.0017896052830365,7.559523695991153e-05,-0.0051906858915363
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.909999966621399,1.5499999523162842,-0.3600000143051147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19536574783.0,11292818051.686808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595.33203125,0.0,0.0,0.0,0.0,0.9861484867295188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10353.302734375,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398.0508036619747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0158357340303734,7.579364946910313e-05,0.0124417163356336,556,-0.0210136420057129,7.619047448748633e-05,-0.02439655273541
